Data,PETR4- State,PETR4- Var%,BOVA11- State,BOVA11- Var%,ITUB4- State,ITUB4- Var%,VALE3- State,VALE3- Var%,BBAS3- State,BBAS3- Var%
04/05/17,0,-3.90%,0,0.18%,0,-3.30%,1,-3.72%,0,-4.19%
05/05/17,0,4.44%,0,0.00%,0,1.57%,0,2.78%,0,2.31%
08/05/17,0,-0.88%,1,0.93%,0,0.22%,0,-0.08%,0,-2.49%
09/05/17,0,0.44%,0,0.57%,0,0.26%,0,1.82%,0,0.37%
10/05/17,0,4.13%,0,0.71%,0,0.48%,0,0.20%,0,2.91%
11/05/17,0,0.64%,0,0.72%,0,1.75%,0,-0.87%,0,3.13%
12/05/17,0,4.22%,0,1.33%,0,0.95%,0,-1.56%,0,2.90%
15/05/17,0,1.48%,0,1.01%,0,0.43%,0,2.84%,0,-1.80%
16/05/17,0,0.13%,0,-0.43%,0,-0.13%,0,2.29%,0,0.00%
17/05/17,0,-0.53%,0,1.88%,0,-2.04%,0,-1.54%,0,-2.71%
18/05/17,0,-15.75%,0,-2.03%,0,-12.06%,0,0.08%,0,-19.89%
19/05/17,1,3.57%,0,-0.29%,1,2.61%,0,1.45%,1,3.32%
22/05/17,0,-1.61%,0,-1.44%,0,-1.97%,0,2.47%,0,-4.66%
23/05/17,0,0.62%,0,1.65%,0,1.57%,0,1.21%,0,2.34%
24/05/17,0,3.32%,0,0.34%,0,0.82%,0,-2.61%,0,1.77%
25/05/17,0,-1.42%,0,1.05%,0,-1.87%,0,0.65%,0,0.43%
26/05/17,0,-0.46%,0,0.10%,0,2.68%,0,0.57%,0,4.13%
29/05/17,0,-0.76%,0,1.42%,0,-0.48%,0,0.72%,0,-0.68%
30/05/17,0,-1.54%,0,1.71%,0,0.29%,0,1.91%,0,1.18%
31/05/17,0,-3.04%,0,0.40%,0,-1.05%,0,-5.00%,0,-2.29%
01/06/17,0,-1.05%,0,-1.61%,0,-1.15%,1,-1.82%,0,-1.04%
02/06/17,0,1.79%,0,0.47%,0,1.02%,0,0.39%,0,0.12%
05/06/17,0,0.96%,0,-1.92%,0,-0.14%,0,-1.06%,0,-2.02%
06/06/17,0,0.00%,0,1.53%,0,1.64%,0,0.32%,0,2.89%
07/06/17,0,-2.29%,0,-0.19%,0,1.61%,0,-0.47%,0,1.19%
08/06/17,0,-0.24%,0,-0.51%,0,-1.03%,0,2.15%,0,-1.52%
09/06/17,0,0.08%,0,0.99%,0,-1.56%,0,1.05%,0,-1.62%
12/06/17,0,0.41%,0,0.35%,0,0.00%,0,-1.69%,0,-2.36%
13/06/17,0,0.24%,0,1.23%,0,1.20%,0,-1.76%,0,1.09%
14/06/17,0,-2.42%,0,-1.46%,0,0.90%,0,-1.00%,0,-0.04%
16/06/17,0,-2.73%,0,1.05%,0,-0.70%,0,-2.10%,0,0.36%
19/06/17,0,0.08%,0,0.50%,0,0.52%,0,3.25%,0,-1.31%
20/06/17,0,-3.48%,0,0.58%,0,-2.21%,0,-2.55%,0,-4.14%
21/06/17,0,-1.85%,0,-2.51%,0,0.14%,0,2.94%,1,-0.54%
22/06/17,0,3.40%,0,-0.24%,0,0.05%,0,2.07%,0,0.55%
23/06/17,-1,-0.87%,0,0.50%,0,-0.34%,0,0.82%,0,-2.01%
26/06/17,0,2.79%,0,-0.06%,0,2.84%,0,0.85%,0,5.86%
27/06/17,0,-0.51%,0,-4.18%,-1,-0.89%,0,1.65%,-1,-3.23%
28/06/17,0,-1.02%,0,-1.82%,0,-0.05%,0,3.09%,0,1.13%
29/06/17,0,0.78%,0,1.19%,0,0.99%,0,0.40%,0,0.62%
30/06/17,0,1.63%,0,0.74%,0,0.66%,0,0.33%,0,0.90%
03/07/17,0,-0.08%,0,1.60%,0,0.93%,0,2.25%,0,1.38%
04/07/17,0,0.51%,0,0.58%,0,-0.37%,0,-0.11%,0,0.52%
05/07/17,0,-1.76%,0,0.17%,0,0.23%,0,-2.31%,0,-0.52%
06/07/17,0,-0.26%,0,-2.31%,0,-1.39%,0,-0.04%,0,-0.64%
07/07/17,0,-1.97%,0,-1.24%,0,-0.98%,0,-0.11%,0,-1.33%
10/07/17,0,0.35%,0,0.82%,0,0.80%,0,2.84%,0,1.02%
11/07/17,0,2.96%,0,-0.16%,0,1.55%,0,1.10%,0,4.21%
12/07/17,0,4.90%,0,-0.33%,0,1.06%,0,-0.46%,0,2.84%
13/07/17,-1,-0.48%,0,0.27%,0,0.27%,0,-2.39%,0,0.91%
14/07/17,0,1.38%,0,-2.34%,0,0.23%,0,1.15%,0,1.09%
17/07/17,0,-1.20%,0,1.42%,0,-1.00%,0,0.68%,0,-0.52%
18/07/17,0,0.32%,0,-0.11%,0,0.14%,0,0.60%,0,0.07%
19/07/17,0,2.26%,0,0.49%,0,-1.47%,0,0.00%,0,0.33%
20/07/17,0,-0.95%,0,1.10%,0,0.14%,0,-3.94%,0,0.89%
21/07/17,0,-3.18%,0,0.03%,0,0.00%,1,-0.77%,0,-0.77%
24/07/17,0,1.56%,0,-0.54%,0,0.65%,0,2.21%,0,-1.15%
25/07/17,0,2.59%,0,1.00%,0,0.23%,0,5.09%,0,1.65%
26/07/17,0,-1.81%,0,0.04%,0,-0.46%,-1,-3.13%,0,-2.43%
27/07/17,0,0.16%,0,-0.75%,0,0.09%,0,0.14%,0,-0.87%
28/07/17,0,1.04%,0,0.94%,0,0.37%,0,2.16%,0,-0.08%
31/07/17,0,1.19%,0,0.32%,0,0.60%,0,3.15%,0,0.50%
01/08/17,0,-1.25%,0,-0.33%,0,3.21%,0,-0.77%,0,2.09%
02/08/17,0,2.94%,1,-1.06%,-1,1.07%,0,0.17%,0,4.02%
03/08/17,0,-1.47%,-1,-1.71%,0,-0.26%,0,-1.39%,0,0.64%
04/08/17,0,0.70%,0,2.46%,0,-0.22%,0,1.78%,0,0.64%
07/08/17,0,1.09%,0,-3.72%,0,1.54%,0,3.84%,0,1.55%
08/08/17,0,-0.46%,0,-0.73%,0,1.22%,0,-1.17%,0,0.00%
09/08/17,0,0.23%,0,-0.62%,0,-0.60%,0,-0.39%,0,-1.88%
10/08/17,0,-2.47%,0,-0.25%,0,-1.30%,0,-1.32%,0,0.50%
11/08/17,0,-1.82%,0,-0.35%,0,0.53%,0,-2.20%,0,-0.07%
14/08/17,0,1.05%,0,-4.44%,0,1.83%,0,1.60%,0,0.63%
15/08/17,0,0.56%,0,-0.90%,0,0.43%,0,-0.57%,0,-0.49%
16/08/17,0,-0.16%,0,-0.52%,0,0.17%,0,1.96%,0,-0.81%
17/08/17,0,-0.63%,0,6.98%,0,-0.76%,0,-1.66%,0,-1.74%
18/08/17,0,4.23%,0,-1.07%,0,0.94%,0,1.11%,0,0.87%
21/08/17,-1,-1.92%,0,-0.44%,0,-0.72%,0,0.63%,0,1.33%
22/08/17,0,3.36%,0,0.83%,0,2.09%,0,0.33%,0,4.49%
23/08/17,0,-0.23%,0,-0.85%,0,1.09%,0,2.15%,-1,0.07%
24/08/17,0,0.30%,0,1.13%,0,0.87%,0,4.10%,0,0.34%
25/08/17,0,0.60%,0,-1.03%,0,-0.29%,0,-0.12%,0,-0.37%
28/08/17,0,-0.08%,0,0.81%,0,-0.91%,0,1.55%,0,-0.95%
29/08/17,0,-0.15%,0,2.27%,0,0.91%,0,0.24%,0,-0.68%
30/08/17,0,-2.93%,0,-0.53%,0,-0.54%,0,-0.31%,0,-1.00%
31/08/17,0,1.55%,0,2.04%,0,-1.28%,0,2.17%,0,-1.49%
01/09/17,0,2.67%,0,1.19%,0,2.10%,0,1.68%,0,3.84%
04/09/17,0,1.04%,0,1.71%,0,-0.49%,0,1.21%,-1,-0.14%
05/09/17,0,1.69%,0,2.32%,0,0.04%,0,-1.40%,0,0.51%
06/09/17,0,4.27%,0,0.70%,0,2.68%,0,0.56%,0,2.37%
08/09/17,0,-2.08%,0,-0.72%,0,-0.12%,0,-3.70%,0,-0.30%
11/09/17,0,1.91%,0,0.69%,0,1.69%,1,1.80%,0,3.58%
12/09/17,0,-0.76%,0,-0.95%,0,-0.28%,0,0.48%,0,-1.12%
13/09/17,0,1.05%,0,-0.31%,0,0.71%,0,-1.40%,0,0.61%
14/09/17,0,0.07%,0,4.26%,0,-0.24%,0,-3.30%,0,0.10%
15/09/17,0,0.00%,0,-0.57%,0,1.86%,0,0.53%,0,1.48%
18/09/17,0,0.00%,0,0.46%,0,0.74%,0,1.34%,0,1.36%
19/09/17,0,0.62%,0,-0.02%,0,-0.38%,0,-0.98%,0,-0.12%
20/09/17,0,4.82%,0,-0.31%,0,-1.04%,0,-2.20%,0,0.66%
