Data,VALE3- Fechamento,VALE3- Log,VALE3- MM20,VALE3- Desvpad,VALE3- Superior,VALE3- Inferior,ABEV3- Fechamento,ABEV3- Log,ABEV3- MM20,ABEV3- Desvpad,ABEV3- Superior,ABEV3- Inferior,ITUB4- Fechamento,ITUB4- Log,ITUB4- MM20,ITUB4- Desvpad,ITUB4- Superior,ITUB4- Inferior,B3SA3- Fechamento,B3SA3- Log,B3SA3- MM20,B3SA3- Desvpad,B3SA3- Superior,B3SA3- Inferior,PETR4- Fechamento,PETR4- Log,PETR4- MM20,PETR4- Desvpad,PETR4- Superior,PETR4- Inferior,BOVA11- Fechamento,BOVA11- Log,BOVA11- MM20,BOVA11- Desvpad,BOVA11- Superior,BOVA11- Inferior,BBAS3- Fechamento,BBAS3- Log,BBAS3- MM20,BBAS3- Desvpad,BBAS3- Superior,BBAS3- Inferior
02/02/10,38.69,0.0,-0.0010739354298086466,0.01670815666082169,0.03234237789183474,-0.03449024875145203,4.51,0.024692612590371414,0.0007821388535226737,0.014089922206989234,0.028961983267501143,-0.027397705560455794,11.18,0.013507634461542002,-0.003622273069005423,0.014880908394476476,0.02613954371994753,-0.03338408985795838,8.87,0.0022573373016498643,0.00011286686508249426,0.019861765179691335,0.039836397224465164,-0.039610663494300175,26.87,-0.005936937660956412,-0.00451621649692519,0.014319555418069249,0.02412289433921331,-0.033155327333063686,66.7,0.009792921953243768,-0.0019624772237815933,0.010062740806786853,0.018163004389792112,-0.0220879588373553,16.71,0.019946264182379127,0.0011501717812464408,0.02070070207056395,0.04255157592237434,-0.040251232359881456
03/02/10,38.6,-0.002328892241636358,-0.0016562023712516465,0.016528956510774438,0.03140171065029723,-0.03471411539280052,4.58,0.015401844611506703,0.0012155294750308139,0.014412250749803835,0.030040030974638483,-0.027608972024576857,11.13,-0.004482302439499501,-0.004178064365762092,0.014683982441105225,0.025189900516448357,-0.03354602924797254,8.84,-0.003387919671936003,-0.0002820086438130591,0.019848253799984866,0.039414498956156674,-0.03997851624378279,26.83,-0.0014897581898671915,-0.004163862135146238,0.01430210621410298,0.024440350293059722,-0.0327680745633522,66.59,-0.0016505367990469952,-0.002425561655861676,0.00980888503737134,0.017192208418881003,-0.022043331730604358,16.3,-0.024842234794585742,0.0004003717111850556,0.021380392552164996,0.04316115681551505,-0.04236041339314493
04/02/10,36.52,-0.0553922207440174,-0.005479789198005213,0.01955985702392899,0.033639924849852766,-0.0445995032458632,4.39,-0.042369771039013654,-0.0014591383378529839,0.017175530875001285,0.03289192341214958,-0.035810200087855557,10.7,-0.0394004238195931,-0.005691461378578124,0.01664968530100139,0.02760790922342466,-0.038990831980580905,8.2,-0.07515272237934471,-0.0058620441649147575,0.024191022246851896,0.04252000032878903,-0.05424408865861855,25.46,-0.05241207130827217,-0.007448757536142332,0.017311452770820024,0.027174148005497716,-0.04207166307778238,63.4,-0.0490905546793508,-0.00516539686867194,0.014122459146028964,0.023079521423385988,-0.03341031516072987,16.0,-0.01857638557293542,-0.0005902522724881307,0.021794609057693932,0.042998965842899736,-0.044179470387875994
05/02/10,36.21,-0.00852473194921799,-0.006114180865293809,0.01943600756426257,0.032757834263231325,-0.04498619599381895,4.23,-0.03712723402889323,-0.003536250949753491,0.01885735617312372,0.03417846139649395,-0.04125096329600093,10.43,-0.02555747245517938,-0.006466396980444782,0.017214747324194996,0.027963097667945212,-0.04089589162883477,7.8,-0.050010420574661305,-0.009541612323093156,0.025058154281195087,0.04057469623929702,-0.05965792088548333,24.84,-0.024653336063982463,-0.008222471601391636,0.017733513423423698,0.02724455524545576,-0.043689498448239036,62.0,-0.022329476398088657,-0.006068042850213363,0.014630453797869508,0.023192864745525652,-0.03532895044595238,15.24,-0.04866517198128101,-0.003023510871552181,0.02429807145762796,0.04557263204370374,-0.051619653786808106
08/02/10,36.47,0.007154681043038964,-0.006242831971542464,0.01933387509174162,0.03242491821194078,-0.044910582155025705,4.18,-0.011890746521521786,-0.004020534647913887,0.018945535095864004,0.03387053554381412,-0.041911604839641896,10.4,-0.00288046286535403,-0.0058463984668325015,0.01710353412270201,0.028360669778571514,-0.040053466712236516,7.96,0.020305266160745523,-0.0073473018856105455,0.025677907992565866,0.04400851409952119,-0.058703117870742276,25.01,0.006820487824249699,-0.007607473921947871,0.018044206786875214,0.028480939651802557,-0.0436958874956983,62.6,0.009630893060961366,-0.00521368316334256,0.01503834416234983,0.024863005161357102,-0.03529037148804222,15.43,0.012390116116569308,-0.0027118878119442094,0.02446143384312529,0.04621097987430637,-0.05163475549819479
09/02/10,37.24,0.020893447588277606,-0.005040602801956161,0.020261563012949957,0.035482523223943754,-0.04556372882785607,4.17,-0.002395210725954822,-0.003473618640738365,0.0188200063456478,0.034166394050557235,-0.04111363133203396,10.86,0.04328050835846225,-0.003252817142293555,0.0202996926560625,0.037346568169831444,-0.04385220245441856,8.3,0.04182651494626072,-0.005687944267832902,0.027753772323284357,0.04981960037873581,-0.061195488914401616,25.41,0.01586705244254504,-0.0066593490352232845,0.018777072725233643,0.030894796415244,-0.04421349448569057,64.09,0.023523067410082626,-0.004403201459265631,0.016145096504781468,0.027886991550297304,-0.036693394468828563,16.2,0.04869757586326882,-0.0006439831431830559,0.026974892306164375,0.053305801469145694,-0.05459376775551181
10/02/10,37.28,0.0010735374085241852,-0.00485321976214836,0.0203018900033443,0.03575056024454024,-0.04545699976883696,4.2,0.007168489478612497,-0.003449643574347576,0.01883393428237373,0.03421822499039988,-0.041117512139095036,10.92,0.0055096558109697,-0.0025005210287330757,0.020333344567557348,0.03816616810638162,-0.04316721016384777,8.33,0.0036079413761990835,-0.0050213197044232105,0.02781177072283611,0.05060222174124901,-0.06064486115009543,25.72,0.012126102037345902,-0.00541167615153035,0.01917057209771191,0.03292946804389347,-0.043752820346954165,64.55,0.007151771776515953,-0.0038380100236913373,0.016350895979886086,0.028863781936080836,-0.03653980198346351,16.6,0.024391453124159263,0.0009732667394051688,0.027478493907880458,0.055930254555166085,-0.053983721076355747
11/02/10,38.15,0.023068767913075536,-0.004304676234970051,0.020922723783824287,0.037540771332678524,-0.046150123802618626,4.3,0.023530497410194036,-0.0029353800413388993,0.019444312526956647,0.035953245012574395,-0.04182400509525219,11.11,0.017249633334779583,-0.0018119525808103364,0.020774849821574636,0.039737747062338936,-0.04336165222395961,8.41,0.009558017806105362,-0.005351190825232192,0.02758558247210237,0.04981997411897254,-0.06052235576943693,26.29,0.02191973937237131,-0.0042283834160114385,0.020115812268254797,0.03600324112049816,-0.04446000795252103,65.6,0.0161355786573918,-0.0032459773049657798,0.01686708684971585,0.03048819639446592,-0.03698015100439748,16.94,0.02027499386141086,0.0013765082371291451,0.02771026948081858,0.056797047198766305,-0.05404403072450801
12/02/10,37.89,-0.006838532699956548,-0.004646602869967878,0.020904543644577344,0.03716248441918681,-0.04645569015912256,4.27,-0.007001195458983588,-0.004047152042880478,0.01898090364444069,0.0339146552460009,-0.04200895933176185,11.11,0.0,-0.0011126404820733387,0.020577942225839495,0.04004324396960565,-0.04226852493375233,8.23,-0.021635459295878196,-0.006432963790026102,0.027788165170774745,0.04914336655152339,-0.06200929413157559,26.64,0.013225206930398624,-0.0026855769623125893,0.020216807621365324,0.03774803828041806,-0.04311919220504323,65.6,0.0,-0.0028875528310351537,0.016855507708263048,0.030823462585490943,-0.03659856824756125,16.66,-0.01666705248521176,0.0012458863981475155,0.027792871970876695,0.05683163033990091,-0.054339857543605874
17/02/10,39.39,0.038824751952305066,-0.002051761193984986,0.022926776906523234,0.04380179261906148,-0.047905315007031456,4.48,0.04800921918636087,-0.0015385829333376783,0.022273034891599777,0.04300748684986187,-0.046084652716537236,11.35,0.02137214027587313,0.0008440893487123372,0.0207711282208482,0.04238634579040874,-0.040698167092984065,8.48,0.029924435114833156,-0.004668932074258201,0.028955433289679096,0.053241934505099994,-0.06257979865361639,26.99,0.013052581357724894,-0.0021395577429183877,0.02049927192477676,0.038858986106635136,-0.04313810159247191,66.94,0.020220999833137267,-0.0011518524742499473,0.01737681483158724,0.033601777188924535,-0.03590548213742443,16.59,-0.004210532536343494,0.0019044070987716086,0.02748259882667629,0.05686960475212419,-0.053060790554580975
