Data,Último,Var%
08/01/18,76.76,0.42%
08/01/19,88.83,0.40%
08/01/20,111.95,-0.26%
08/02/17,62.87,1.39%
08/02/18,78.7,-1.58%
08/02/19,91.7,0.77%
08/03/17,62.63,-1.86%
08/03/18,82.14,-0.56%
08/03/19,91.85,0.88%
08/04/19,93.78,0.24%
08/04/20,75.73,3.02%
08/05/17,63.42,-0.38%
08/05/18,80.22,0.50%
08/05/19,92.11,1.24%
08/05/20,77.43,2.69%
08/06/17,60.71,-0.78%
08/06/18,70.4,-1.36%
08/06/20,93.95,3.19%
08/07/19,100.56,0.29%
08/07/20,96.1,2.13%
08/08/17,65.66,0.05%
08/08/18,76.32,-1.51%
08/08/19,100.36,1.32%
08/09/17,70.71,-0.34%
08/10/18,83.64,5.27%
08/10/19,96.15,-0.67%
08/11/17,71.93,2.80%
08/11/18,82.6,-2.35%
08/11/19,103.4,-1.81%
08/12/17,70.12,0.17%
09/01/17,59.74,-0.18%
09/01/18,76.16,-0.78%
09/01/19,90.32,1.68%
09/01/20,111.66,-0.26%
09/02/17,62.83,-0.06%
09/02/18,78.17,-0.67%
09/03/17,62.37,-0.42%
09/03/18,83.4,1.53%
09/03/20,82.7,-12.39%
09/04/18,80.42,-1.86%
09/04/19,92.7,-1.15%
09/04/20,74.87,-1.14%
09/05/17,64.17,1.18%
09/05/18,81.35,1.41%
09/05/19,91.37,-0.80%
09/06/17,60.22,-0.81%
09/06/20,92.95,-1.06%
09/07/20,95.41,-0.72%
09/08/17,65.44,-0.34%
09/08/18,75.96,-0.47%
09/08/19,100.24,-0.12%
09/09/19,99.33,0.20%
09/10/17,73.21,-0.41%
09/10/18,83,-0.77%
09/10/19,97.5,1.40%
09/11/17,70.5,-1.99%
09/11/18,82.52,-0.10%
09/12/19,106.77,-0.15%
10/01/17,60.25,0.85%
10/01/18,75.6,-0.74%
10/01/19,90.42,0.11%
10/01/20,111.28,-0.34%
10/02/17,63.99,1.85%
10/02/20,108.79,-0.51%
10/03/17,62.55,0.29%
10/03/20,88.63,7.17%
10/04/17,62.54,0.43%
10/04/18,81.56,1.42%
10/04/19,92.49,-0.23%
10/05/17,65.2,1.61%
10/05/18,82.87,1.87%
10/05/19,90.8,-0.62%
10/06/19,93.85,-0.39%
10/06/20,91.17,-1.92%
10/07/17,60.94,0.73%
10/07/18,72.35,-0.14%
10/07/19,101.96,1.39%
10/07/20,96.34,0.97%
10/08/17,64.73,-1.08%
10/08/18,73.8,-2.84%
10/08/20,99.54,0.72%
10/09/18,74,-0.13%
10/09/19,99.19,-0.14%
10/10/17,74.24,1.41%
10/10/18,80.73,-2.73%
10/10/19,98.08,0.59%
10/11/17,69.97,-0.75%
10/12/18,82.86,-2.44%
10/12/19,106.58,-0.18%
11/01/17,60.47,0.37%
11/01/18,76.66,1.40%
11/01/19,90.38,-0.04%
11/02/19,90.99,-0.77%
11/02/20,111.3,2.31%
11/03/19,94.55,2.94%
11/03/20,82.06,-7.41%
11/04/17,62.42,-0.19%
11/04/18,82.45,1.09%
11/04/19,91.38,-1.20%
11/05/17,65.35,0.23%
11/05/18,82.29,-0.70%
11/05/20,76.14,-1.67%
11/06/18,69.86,-0.77%
11/06/19,95.42,1.67%
11/07/17,61.7,1.25%
11/07/18,71.76,-0.82%
11/07/19,101.21,-0.74%
11/08/17,65.1,0.57%
11/08/20,98.2,-1.35%
11/09/17,71.93,1.73%
11/09/18,72.13,-2.53%
11/09/19,99.75,0.56%
11/10/17,74.13,-0.15%
11/10/18,80.15,-0.72%
11/10/19,99.97,1.93%
11/11/19,104.24,0.81%
11/12/17,70.44,0.46%
11/12/18,83.5,0.77%
11/12/19,106.75,0.16%
12/01/17,62,2.53%
12/01/18,76.67,0.01%
12/02/19,92.45,1.60%
12/02/20,112.45,1.03%
12/03/18,83.95,0.66%
12/03/19,94.4,-0.16%
12/03/20,70.1,-14.57%
12/04/17,61.68,-1.19%
12/04/18,82.43,-0.02%
12/04/19,89.51,-2.05%
12/05/17,65.94,0.90%
12/05/20,75,-1.50%
12/06/17,59.65,-0.95%
12/06/18,70.27,0.59%
12/06/19,94.66,-0.80%
12/06/20,89.25,-2.11%
12/07/17,62.7,1.62%
12/07/18,73.26,2.09%
12/07/19,100.05,-1.15%
12/08/19,98.16,-2.08%
12/08/20,98.33,0.13%
12/09/17,72.1,0.24%
12/09/18,72.57,0.61%
12/09/19,100.36,0.61%
12/11/18,82.35,-0.21%
12/11/19,102.45,-1.72%
12/12/17,71.4,1.36%
12/12/18,83.9,0.48%
12/12/19,107.85,1.03%
13/01/17,61.68,-0.52%
13/01/20,113.08,1.62%
13/02/17,64.68,1.08%
13/02/19,92.6,0.16%
13/02/20,110.9,-1.38%
13/03/17,63.47,1.47%
13/03/18,83.5,-0.54%
13/03/19,95.31,0.96%
13/03/20,79.49,13.40%
13/04/17,60.8,-1.43%
13/04/18,81.3,-1.37%
13/04/20,75.96,1.46%
13/05/19,88.31,-2.74%
13/05/20,75.15,0.20%
13/06/17,59.82,0.28%
13/06/18,69.75,-0.74%
13/06/19,95.14,0.51%
13/07/17,63.2,0.80%
13/07/18,74.01,1.02%
13/07/20,95.05,-1.34%
13/08/18,74.89,1.48%
13/08/19,99.52,1.39%
13/08/20,96.51,-1.85%
13/09/17,72.27,0.24%
13/09/18,72.02,-0.76%
13/09/19,99.58,-0.78%
13/10/17,74.45,0.43%
13/11/17,70.48,0.73%
13/11/18,81.64,-0.86%
13/11/19,102.37,-0.08%
13/12/17,70.38,-1.43%
13/12/18,84.28,0.45%
13/12/19,108.31,0.43%
14/01/19,91.21,0.92%
14/01/20,113.32,0.21%
14/02/17,65.05,0.57%
14/02/18,80.6,3.11%
14/02/19,94.34,1.88%
14/02/20,110.08,-0.74%
14/03/17,62.75,-1.13%
14/03/18,83.14,-0.43%
14/03/19,94.95,-0.38%
14/04/20,76.85,1.17%
14/05/18,82.39,0.12%
14/05/19,88.76,0.51%
14/05/20,76.25,1.46%
14/06/17,59.89,0.12%
14/06/18,68.8,-1.36%
14/06/19,94.51,-0.66%
14/07/17,63.34,0.22%
14/07/20,96.6,1.63%
14/08/17,66.02,1.41%
14/08/18,75.9,1.35%
14/08/19,96.65,-2.88%
14/08/20,97.47,0.99%
14/09/17,71.97,-0.42%
14/09/18,72.81,1.10%
14/10/19,100.35,0.38%
14/11/17,68.46,-2.87%
14/11/18,82.65,1.24%
14/11/19,102.55,0.18%
14/12/17,70,-0.54%
14/12/18,84.21,-0.08%
15/01/18,77.07,0.52%
15/01/19,90.61,-0.66%
15/01/20,112.18,-1.01%
15/02/17,65.85,1.23%
15/02/18,81.4,0.99%
15/02/19,94.04,-0.32%
15/03/17,64.11,2.17%
15/03/18,82.07,-1.29%
15/03/19,95.53,0.61%
15/04/19,89.81,0.34%
15/04/20,76.05,-1.04%
15/05/17,66.27,0.50%
15/05/18,82.21,-0.22%
15/05/19,87.87,-1.00%
15/05/20,74.56,-2.22%
15/06/18,68.11,-1.00%
15/06/20,89.07,-0.20%
15/07/19,100.04,-0.01%
15/07/20,98.03,1.48%
15/08/17,66.08,0.09%
15/08/18,74.39,-1.99%
15/08/19,95.38,-1.31%
15/09/17,73.14,1.63%
15/10/18,80.46,0.39%
15/10/19,100.58,0.23%
15/12/17,69.95,-0.07%
16/01/17,61.9,0.36%
16/01/18,77.06,-0.01%
16/01/19,91.15,0.60%
16/01/20,112.35,0.15%
16/02/17,65.6,-0.38%
16/02/18,81.56,0.20%
16/03/17,63.42,-1.08%
16/03/18,82.01,-0.07%
16/03/20,68.4,-13.95%
16/04/18,79.98,-1.62%
